Title	Category		Filename	URL	Date Created	Date
Ep 119 - Bennett’s Brothel Gets Dumped	History	https://nakedmormonismpodcast.com/episode-119-bennetts-brothel-gets-dumped/	Episode 119 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-119-bennetts-brothel-gets-dumped	Fri, 07 Sep 2018 05:30:50 +0000	9/7/2018 5:30:50
Ep 120 - Bennett LOCA	History	https://nakedmormonismpodcast.com/episode-120-bennett-loca/	Episode 120 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-120-bennett-loca	Fri, 14 Sep 2018 07:09:32 +0000	9/14/2018 7:09:32
Ep 121 - Bennett Meltdown pt. 1 Supercritical	History	https://nakedmormonismpodcast.com/ep-121-bennett-meltdown-pt-1-supercritical/	Episode 121 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-121-bennett-meltdown-pt-1-supercritical	Thu, 20 Sep 2018 23:00:00 +0000	9/20/2018 23:00:00
Ep 122 - Bennett Meltdown pt 2 Sarah Pratt	History	https://nakedmormonismpodcast.com/episode-122-bennett-meltdown-pt-2-sarah-pratt/	Episode 122 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/122-bennett-meltdown-pt-2-sarah-pratt	Thu, 27 Sep 2018 22:00:00 +0000	9/27/2018 22:00:00
Ep 123 - BM pt 3 Polygamy Pre-Bennett w/Johnny Stephenson	History	https://nakedmormonismpodcast.com/episode-123-bennett-meltdown-part-3/	none	https://nakedmormonismpodcast.libsyn.com/ep-123-bm-pt-3-polygamy-pre-bennett-wjohnny-stephenson	Thu, 04 Oct 2018 23:00:00 +0000	10/4/2018 23:00:00
Ep 124 - BM pt 4 Polygamy Post-Bennett w/Johnny Stephenson	History	https://nakedmormonismpodcast.com/episode-124-bennett-meltdown-pt-4-polygamy-post-bennett-wjohnny-stephenson/	Episode 124 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-124-bm-pt-4-polygamy-post-bennett-wjohnny-stephenson	Thu, 11 Oct 2018 23:00:00 +0000	10/11/2018 23:00:00
Ep 125 - MLK Who? w/ Madison Harris	History	https://nakedmormonismpodcast.com/episode-125-mlk-w-madison-harris/	Episode 125 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-125-mlk-who-w-madison-harris	Thu, 18 Oct 2018 23:00:00 +0000	10/18/2018 23:00:00
Ep 126 - QED Wrap Up & Interviews	History	https://nakedmormonismpodcast.com/episode-126-qed-wrap-interviews/	none	https://nakedmormonismpodcast.libsyn.com/ep-126-qed-wrap-up-interviews	Thu, 25 Oct 2018 22:23:49 +0000	10/25/2018 22:23:49
Ep 127 - History of Liverpool by Jonas Pierce	History	https://nakedmormonismpodcast.com/episode-127-history-liverpool-jonas-pierce/	none	https://nakedmormonismpodcast.libsyn.com/ep-127-history-of-liverpool-by-jonas-pierce	Fri, 02 Nov 2018 01:00:00 +0000	11/2/2018 1:00:00
Ep 128 - Bennett Meltdown Pt 5: Fugitive Prophet	History	https://nakedmormonismpodcast.com/episode-128-bennett-meltdown-pt-5-fugitive-prophet/	Episode 128 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-128-bennett-meltdown-pt-5-fugitive-prophet	Fri, 09 Nov 2018 04:30:40 +0000	11/9/2018 4:30:40
